wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 0.1689, 'grad_norm': 0.346971333026886, 'learning_rate': 7.464387464387464e-05, 'epoch': 10.0}
{'loss': 0.1539, 'grad_norm': 0.3246459662914276, 'learning_rate': 7.17948717948718e-05, 'epoch': 10.19}
{'loss': 0.1565, 'grad_norm': 0.30835357308387756, 'learning_rate': 6.894586894586895e-05, 'epoch': 10.38}
{'loss': 0.1618, 'grad_norm': 0.3590838611125946, 'learning_rate': 6.60968660968661e-05, 'epoch': 10.58}
{'loss': 0.1623, 'grad_norm': 0.35926932096481323, 'learning_rate': 6.324786324786325e-05, 'epoch': 10.77}
{'loss': 0.1662, 'grad_norm': 0.3210965394973755, 'learning_rate': 6.03988603988604e-05, 'epoch': 10.96}
{'loss': 0.1549, 'grad_norm': 0.35283491015434265, 'learning_rate': 5.7549857549857555e-05, 'epoch': 11.15}
{'loss': 0.1564, 'grad_norm': 0.35950449109077454, 'learning_rate': 5.470085470085471e-05, 'epoch': 11.35}
{'loss': 0.1552, 'grad_norm': 0.32741257548332214, 'learning_rate': 5.185185185185185e-05, 'epoch': 11.54}
{'loss': 0.16, 'grad_norm': 0.3089553713798523, 'learning_rate': 4.9002849002849004e-05, 'epoch': 11.73}
{'loss': 0.1633, 'grad_norm': 0.3680203855037689, 'learning_rate': 4.615384615384616e-05, 'epoch': 11.92}
{'loss': 0.1583, 'grad_norm': 0.33155280351638794, 'learning_rate': 4.3304843304843306e-05, 'epoch': 12.12}
{'loss': 0.154, 'grad_norm': 0.37126100063323975, 'learning_rate': 4.045584045584046e-05, 'epoch': 12.31}
{'loss': 0.1526, 'grad_norm': 0.30091407895088196, 'learning_rate': 3.760683760683761e-05, 'epoch': 12.5}
{'loss': 0.1574, 'grad_norm': 0.34337911009788513, 'learning_rate': 3.475783475783476e-05, 'epoch': 12.69}
{'loss': 0.1604, 'grad_norm': 0.42115601897239685, 'learning_rate': 3.190883190883191e-05, 'epoch': 12.88}
