wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.6182, 'grad_norm': 1.2018319368362427, 'learning_rate': 1.3429904181699991e-05, 'epoch': 1.36}
{'loss': 0.5781, 'grad_norm': 1.1208778619766235, 'learning_rate': 1.313727706358311e-05, 'epoch': 1.38}
{'loss': 0.6308, 'grad_norm': 1.1544499397277832, 'learning_rate': 1.2841638729047463e-05, 'epoch': 1.41}
{'loss': 0.6387, 'grad_norm': 1.1229549646377563, 'learning_rate': 1.2543272937222045e-05, 'epoch': 1.44}
{'loss': 0.6313, 'grad_norm': 1.0787636041641235, 'learning_rate': 1.2242466065099685e-05, 'epoch': 1.46}
{'loss': 0.5685, 'grad_norm': 1.2239207029342651, 'learning_rate': 1.1939506832667129e-05, 'epoch': 1.49}
{'loss': 0.5654, 'grad_norm': 1.3232698440551758, 'learning_rate': 1.1634686025786264e-05, 'epoch': 1.52}
{'loss': 0.6297, 'grad_norm': 1.1967153549194336, 'learning_rate': 1.1328296217092485e-05, 'epoch': 1.54}
{'loss': 0.5801, 'grad_norm': 1.2638331651687622, 'learning_rate': 1.1020631485178084e-05, 'epoch': 1.57}
{'loss': 0.5716, 'grad_norm': 1.1965049505233765, 'learning_rate': 1.0711987132330181e-05, 'epoch': 1.6}
{'loss': 0.5918, 'grad_norm': 1.2735151052474976, 'learning_rate': 1.0402659401094154e-05, 'epoch': 1.62}
{'loss': 0.5954, 'grad_norm': 1.3775694370269775, 'learning_rate': 1.0092945189934558e-05, 'epoch': 1.65}
{'loss': 0.5774, 'grad_norm': 1.13149094581604, 'learning_rate': 9.783141768266512e-06, 'epoch': 1.68}
{'loss': 0.6297, 'grad_norm': 1.2313485145568848, 'learning_rate': 9.473546491131042e-06, 'epoch': 1.7}
{'loss': 0.6133, 'grad_norm': 1.3880254030227661, 'learning_rate': 9.164456513788186e-06, 'epoch': 1.73}
{'loss': 0.6165, 'grad_norm': 1.1805964708328247, 'learning_rate': 8.856168506501944e-06, 'epoch': 1.76}
{'loss': 0.5902, 'grad_norm': 1.2299469709396362, 'learning_rate': 8.548978369790631e-06, 'epoch': 1.78}
{'loss': 0.5908, 'grad_norm': 1.1905789375305176, 'learning_rate': 8.243180950416142e-06, 'epoch': 1.81}
{'loss': 0.5784, 'grad_norm': 1.3925504684448242, 'learning_rate': 7.939069758384563e-06, 'epoch': 1.84}
{'loss': 0.6248, 'grad_norm': 1.3167130947113037, 'learning_rate': 7.636936685229864e-06, 'epoch': 1.86}
{'loss': 0.6563, 'grad_norm': 1.2913281917572021, 'learning_rate': 7.337071723851018e-06, 'epoch': 1.89}
{'loss': 0.5708, 'grad_norm': 1.1218862533569336, 'learning_rate': 7.039762690171448e-06, 'epoch': 1.92}
{'loss': 0.5976, 'grad_norm': 1.1259013414382935, 'learning_rate': 6.745294946888024e-06, 'epoch': 1.94}
{'loss': 0.6115, 'grad_norm': 1.085408091545105, 'learning_rate': 6.453951129574644e-06, 'epoch': 1.97}
{'loss': 0.5929, 'grad_norm': 1.2541580200195312, 'learning_rate': 6.16601087540343e-06, 'epoch': 2.0}
{'loss': 0.5579, 'grad_norm': 1.1373391151428223, 'learning_rate': 5.881750554743779e-06, 'epoch': 2.02}
{'loss': 0.55, 'grad_norm': 1.1108366250991821, 'learning_rate': 5.601443005897012e-06, 'epoch': 2.05}
{'loss': 0.5406, 'grad_norm': 1.1649010181427002, 'learning_rate': 5.325357273221099e-06, 'epoch': 2.07}
{'loss': 0.5482, 'grad_norm': 1.308863878250122, 'learning_rate': 5.053758348896973e-06, 'epoch': 2.1}
{'loss': 0.5479, 'grad_norm': 1.360050916671753, 'learning_rate': 4.786906918584083e-06, 'epoch': 2.13}
{'loss': 0.5254, 'grad_norm': 1.3022150993347168, 'learning_rate': 4.525059111209548e-06, 'epoch': 2.15}
{'loss': 0.5644, 'grad_norm': 1.3538589477539062, 'learning_rate': 4.268466253130839e-06, 'epoch': 2.18}
{'loss': 0.5148, 'grad_norm': 1.2812693119049072, 'learning_rate': 4.017374626908125e-06, 'epoch': 2.21}
{'loss': 0.5746, 'grad_norm': 1.25143301486969, 'learning_rate': 3.772025234917728e-06, 'epoch': 2.23}
{'loss': 0.5745, 'grad_norm': 1.3805556297302246, 'learning_rate': 3.532653568033587e-06, 'epoch': 2.26}
{'loss': 0.538, 'grad_norm': 1.2928838729858398, 'learning_rate': 3.299489379598777e-06, 'epoch': 2.29}
{'loss': 0.5457, 'grad_norm': 1.1648563146591187, 'learning_rate': 3.0727564649040066e-06, 'epoch': 2.31}
{'loss': 0.5635, 'grad_norm': 1.1843101978302002, 'learning_rate': 2.852672446384772e-06, 'epoch': 2.34}
{'loss': 0.5654, 'grad_norm': 1.3693255186080933, 'learning_rate': 2.639448564743328e-06, 'epoch': 2.37}
{'loss': 0.5112, 'grad_norm': 1.2060106992721558, 'learning_rate': 2.4332894761959602e-06, 'epoch': 2.39}
{'loss': 0.5547, 'grad_norm': 1.3537906408309937, 'learning_rate': 2.2343930560401663e-06, 'epoch': 2.42}
{'loss': 0.5593, 'grad_norm': 1.3264265060424805, 'learning_rate': 2.0429502087303164e-06, 'epoch': 2.45}
{'loss': 0.558, 'grad_norm': 1.469799518585205, 'learning_rate': 1.8591446846440097e-06, 'epoch': 2.47}
{'loss': 0.5309, 'grad_norm': 1.3286007642745972, 'learning_rate': 1.683152903715083e-06, 'epoch': 2.5}
{'loss': 0.5253, 'grad_norm': 1.354019045829773, 'learning_rate': 1.5151437861025032e-06, 'epoch': 2.53}
{'loss': 0.5552, 'grad_norm': 1.220193862915039, 'learning_rate': 1.3552785900576794e-06, 'epoch': 2.55}
{'loss': 0.5551, 'grad_norm': 1.3764314651489258, 'learning_rate': 1.203710757145815e-06, 'epoch': 2.58}
{'loss': 0.5704, 'grad_norm': 1.2663830518722534, 'learning_rate': 1.060585764969867e-06, 'epoch': 2.61}
{'loss': 0.5472, 'grad_norm': 1.3871461153030396, 'learning_rate': 9.260409875384569e-07, 'epoch': 2.63}
{'loss': 0.5306, 'grad_norm': 1.2168618440628052, 'learning_rate': 8.002055634117578e-07, 'epoch': 2.66}
{'loss': 0.5444, 'grad_norm': 1.3181788921356201, 'learning_rate': 6.83200271751927e-07, 'epoch': 2.69}
{'loss': 0.5066, 'grad_norm': 1.1592180728912354, 'learning_rate': 5.751374163970347e-07, 'epoch': 2.71}
{'loss': 0.5423, 'grad_norm': 1.3388111591339111, 'learning_rate': 4.761207180697658e-07, 'epoch': 2.74}
{'loss': 0.5692, 'grad_norm': 1.3375442028045654, 'learning_rate': 3.862452148243623e-07, 'epoch': 2.77}
{'loss': 0.5642, 'grad_norm': 1.414779782295227, 'learning_rate': 3.055971708273375e-07, 'epoch': 2.79}
{'loss': 0.59, 'grad_norm': 1.5690861940383911, 'learning_rate': 2.342539935595445e-07, 'epoch': 2.82}
{'loss': 0.5171, 'grad_norm': 1.4613704681396484, 'learning_rate': 1.7228415951904165e-07, 'epoch': 2.85}
{'loss': 0.5521, 'grad_norm': 1.3678849935531616, 'learning_rate': 1.1974714849608883e-07, 'epoch': 2.87}
{'loss': 0.5507, 'grad_norm': 1.443594217300415, 'learning_rate': 7.669338648334856e-08, 'epoch': 2.9}
{'loss': 0.5668, 'grad_norm': 1.3141813278198242, 'learning_rate': 4.316419727608434e-08, 'epoch': 2.93}
{'loss': 0.5316, 'grad_norm': 1.4017051458358765, 'learning_rate': 1.919176280882229e-08, 'epoch': 2.95}
{'loss': 0.4979, 'grad_norm': 1.2185686826705933, 'learning_rate': 4.799092266535299e-09, 'epoch': 2.98}
{'train_runtime': 1563.6653, 'train_samples_per_second': 5.756, 'train_steps_per_second': 0.361, 'train_loss': 0.6520476882339369, 'epoch': 3.0}
