wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 0.2748, 'grad_norm': 1.3257156610488892, 'learning_rate': 0.0001048888888888889, 'epoch': 5.3}
{'loss': 0.2702, 'grad_norm': 0.7549267411231995, 'learning_rate': 0.00010266666666666666, 'epoch': 5.4}
{'loss': 0.2625, 'grad_norm': 0.5186547636985779, 'learning_rate': 0.00010044444444444445, 'epoch': 5.5}
{'loss': 0.262, 'grad_norm': 2.428694248199463, 'learning_rate': 9.822222222222223e-05, 'epoch': 5.6}
{'loss': 0.2729, 'grad_norm': 0.6805164217948914, 'learning_rate': 9.6e-05, 'epoch': 5.7}
{'loss': 0.2872, 'grad_norm': 2.9700918197631836, 'learning_rate': 9.377777777777779e-05, 'epoch': 5.8}
{'loss': 0.2883, 'grad_norm': 0.9427818059921265, 'learning_rate': 9.155555555555557e-05, 'epoch': 5.9}
{'loss': 0.2932, 'grad_norm': 2.7761690616607666, 'learning_rate': 8.933333333333334e-05, 'epoch': 6.0}
{'loss': 0.2445, 'grad_norm': 0.6836946606636047, 'learning_rate': 8.711111111111112e-05, 'epoch': 6.1}
{'loss': 0.2525, 'grad_norm': 1.1008713245391846, 'learning_rate': 8.488888888888889e-05, 'epoch': 6.2}
{'loss': 0.256, 'grad_norm': 0.7712783217430115, 'learning_rate': 8.266666666666667e-05, 'epoch': 6.3}
{'loss': 0.2587, 'grad_norm': 2.9978861808776855, 'learning_rate': 8.044444444444444e-05, 'epoch': 6.4}
{'loss': 0.264, 'grad_norm': 1.1374683380126953, 'learning_rate': 7.822222222222223e-05, 'epoch': 6.5}
{'loss': 0.256, 'grad_norm': 0.9375545382499695, 'learning_rate': 7.6e-05, 'epoch': 6.6}
{'loss': 0.2599, 'grad_norm': 0.46336010098457336, 'learning_rate': 7.377777777777778e-05, 'epoch': 6.7}
{'loss': 0.2537, 'grad_norm': 4.802787780761719, 'learning_rate': 7.155555555555555e-05, 'epoch': 6.8}
{'loss': 0.2601, 'grad_norm': 0.4975939691066742, 'learning_rate': 6.933333333333334e-05, 'epoch': 6.9}
{'loss': 0.2612, 'grad_norm': 0.6590282917022705, 'learning_rate': 6.711111111111112e-05, 'epoch': 7.0}
{'loss': 0.2276, 'grad_norm': 0.9757667779922485, 'learning_rate': 6.488888888888889e-05, 'epoch': 7.1}
{'loss': 0.2277, 'grad_norm': 0.6157307028770447, 'learning_rate': 6.266666666666667e-05, 'epoch': 7.2}
{'loss': 0.2323, 'grad_norm': 0.7007574439048767, 'learning_rate': 6.044444444444445e-05, 'epoch': 7.3}
{'loss': 0.2398, 'grad_norm': 0.6948925852775574, 'learning_rate': 5.8222222222222224e-05, 'epoch': 7.4}
{'loss': 0.2338, 'grad_norm': 0.6467047929763794, 'learning_rate': 5.6000000000000006e-05, 'epoch': 7.5}
{'loss': 0.2393, 'grad_norm': 0.6129710078239441, 'learning_rate': 5.377777777777778e-05, 'epoch': 7.6}
{'loss': 0.2407, 'grad_norm': 0.609737753868103, 'learning_rate': 5.1555555555555556e-05, 'epoch': 7.7}
{'loss': 0.2471, 'grad_norm': 1.0263761281967163, 'learning_rate': 4.933333333333334e-05, 'epoch': 7.8}
{'loss': 0.2399, 'grad_norm': 0.5286702513694763, 'learning_rate': 4.711111111111111e-05, 'epoch': 7.9}
{'loss': 0.2518, 'grad_norm': 0.9125784039497375, 'learning_rate': 4.4888888888888894e-05, 'epoch': 8.0}
{'loss': 0.2128, 'grad_norm': 0.6826262474060059, 'learning_rate': 4.266666666666667e-05, 'epoch': 8.1}
{'loss': 0.2064, 'grad_norm': 0.6520829796791077, 'learning_rate': 4.0444444444444444e-05, 'epoch': 8.2}
{'loss': 0.2189, 'grad_norm': 0.9340807795524597, 'learning_rate': 3.8222222222222226e-05, 'epoch': 8.3}
{'loss': 0.2041, 'grad_norm': 0.7347471117973328, 'learning_rate': 3.6e-05, 'epoch': 8.4}
{'loss': 0.2216, 'grad_norm': 0.7826228737831116, 'learning_rate': 3.377777777777778e-05, 'epoch': 8.5}
{'loss': 0.2161, 'grad_norm': 0.7752977609634399, 'learning_rate': 3.155555555555556e-05, 'epoch': 8.6}
{'loss': 0.2256, 'grad_norm': 0.7697078585624695, 'learning_rate': 2.9333333333333336e-05, 'epoch': 8.7}
{'loss': 0.2228, 'grad_norm': 0.7131636142730713, 'learning_rate': 2.7111111111111114e-05, 'epoch': 8.8}
{'loss': 0.2204, 'grad_norm': 0.796511709690094, 'learning_rate': 2.488888888888889e-05, 'epoch': 8.9}
{'loss': 0.2192, 'grad_norm': 0.5484861135482788, 'learning_rate': 2.2666666666666668e-05, 'epoch': 9.0}
{'loss': 0.1943, 'grad_norm': 0.49752527475357056, 'learning_rate': 2.0444444444444446e-05, 'epoch': 9.1}
{'loss': 0.1891, 'grad_norm': 0.48778417706489563, 'learning_rate': 1.8222222222222224e-05, 'epoch': 9.2}
{'loss': 0.1855, 'grad_norm': 0.5478261113166809, 'learning_rate': 1.6000000000000003e-05, 'epoch': 9.3}
{'loss': 0.1918, 'grad_norm': 1.8386868238449097, 'learning_rate': 1.3777777777777778e-05, 'epoch': 9.4}
{'loss': 0.178, 'grad_norm': 1.0019705295562744, 'learning_rate': 1.1555555555555556e-05, 'epoch': 9.5}
{'loss': 0.1828, 'grad_norm': 0.720288097858429, 'learning_rate': 9.333333333333334e-06, 'epoch': 9.6}
{'loss': 0.1729, 'grad_norm': 0.8697611689567566, 'learning_rate': 7.111111111111112e-06, 'epoch': 9.7}
{'loss': 0.1823, 'grad_norm': 1.2298519611358643, 'learning_rate': 4.888888888888889e-06, 'epoch': 9.8}
{'loss': 0.1779, 'grad_norm': 1.4105255603790283, 'learning_rate': 2.666666666666667e-06, 'epoch': 9.9}
{'loss': 0.1747, 'grad_norm': 0.7742312550544739, 'learning_rate': 4.444444444444445e-07, 'epoch': 10.0}
{'train_runtime': 538.5981, 'train_samples_per_second': 7.427, 'train_steps_per_second': 0.928, 'train_loss': 0.344782646894455, 'epoch': 10.0}
