wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 0.2355, 'grad_norm': 0.486078679561615, 'learning_rate': 3.4962713026158694e-06, 'epoch': 5.1}
{'loss': 0.2341, 'grad_norm': 0.5117190480232239, 'learning_rate': 2.7912437301749026e-06, 'epoch': 5.2}
{'loss': 0.2349, 'grad_norm': 0.5595163106918335, 'learning_rate': 2.1613635589349756e-06, 'epoch': 5.3}
{'loss': 0.236, 'grad_norm': 0.5677788257598877, 'learning_rate': 1.6087621040117157e-06, 'epoch': 5.4}
{'loss': 0.2356, 'grad_norm': 0.5105063319206238, 'learning_rate': 1.1353091938067023e-06, 'epoch': 5.5}
{'loss': 0.2372, 'grad_norm': 0.522803783416748, 'learning_rate': 7.426068431000882e-07, 'epoch': 5.6}
{'loss': 0.235, 'grad_norm': 0.5421310067176819, 'learning_rate': 4.319838323396691e-07, 'epoch': 5.7}
{'loss': 0.2331, 'grad_norm': 0.5289334058761597, 'learning_rate': 2.0449121146845774e-07, 'epoch': 5.8}
{'loss': 0.2341, 'grad_norm': 0.5667698383331299, 'learning_rate': 6.089874350439506e-08, 'epoch': 5.9}
{'loss': 0.2365, 'grad_norm': 0.5714013576507568, 'learning_rate': 1.692299905944883e-09, 'epoch': 6.0}
{'train_runtime': 451.2391, 'train_samples_per_second': 5.319, 'train_steps_per_second': 0.665, 'train_loss': 0.40597819129625956, 'epoch': 6.0}
